"Ministries/Departments","Head of Expenditure","Detailed Head of Expenditure","Actual 2018-2019 Total","Budget 2019-2020 Total","Revised 2019-2020 Total","Budget 2020-2021 Total"
"Department of Health and Family Welfare","Regional Institue of Medical Sciences, Imphal","Total Regional Institue of Medical Sciences, Imphal","302.05","450","459.66","354.64"
"Department of Health and Family Welfare","Regional Institute of Paramedical and Nursing Sciences, Aizawl","Total Regional Institute of Paramedical and Nursing Sciences, Aizawl","16.64","35.18","40.68","35.46"
"Department of Health and Family Welfare","Lokpriya Gopinath Bordoloi Regional Institute of Mental Health, Tezpur","Total Lokpriya Gopinath Bordoloi Regional Institute of Mental Health, Tezpur","49.97","60","60","53.2"
"Department of Health and Family Welfare","Other Autonomous Bodies","Support from Gross Budgetary Support (GBS)","...","0.01","738.48","715.8"
"Department of Health and Family Welfare","Other Autonomous Bodies","Support from National Investment Fund (NIF)","594.72","760.15","...","..."
"Department of Health and Family Welfare","Medical Treatment of CGHS Pensioners (PORB)","Total Medical Treatment of CGHS Pensioners (PORB)","1759.1","1500","2636.08","1750.17"
"Department of Health and Family Welfare","Purchase of Material in India and Abroad","Gross Budgetary Support","92.27","310","310","310"
"Department of Health and Family Welfare","Purchase of Material in India and Abroad","Less Recoveries","-109.85","-310","-310","-310"
"Department of Health and Family Welfare","International Cooperation","Total International Cooperation","72.23","72.6","157.6","99.39"
"Department of Health and Family Welfare","Other Miscellaneous  Expenditure","Gross Budgetary Support","69.58","259.06","166.41","216.06"
"Department of Health and Family Welfare","Other Miscellaneous  Expenditure","Less Recoveries","...","-2.19","-2.15","-2.17"
"Department of Health and Family Welfare","Support from National Investment Fund  (NIF)","Total Support from National Investment Fund  (NIF)","18734.55","20649.55","43","32270"
"Department of Health and Family Welfare","Amount met from National Investment Fund  (NIF)","Total Amount met from National Investment Fund  (NIF)","-18734.55","-20649.55","-43","-32270"
"Department of Health and Family Welfare","Support from Central Roads & Infrastructure Fund (CRIF)","Total Support from Central Roads & Infrastructure Fund (CRIF)","3795.34","4000","3990","4400"
"Department of Health and Family Welfare","Amount met from Central Roads & Infrastructure Fund (CRIF)","Total Amount met from Central Roads & Infrastructure Fund (CRIF)","-3795.34","-4000","-3990","-4400"
"Department of Health and Family Welfare","National Rural Health Mission","RCH Flexible Pool including Routine Immunization Programme, Pulse Polio Immunization Programme, National Iodine Deficiency Disorders Control Progrmme etc. (Support from National Investment Funds)","7219.89","7843.05","...","7751.54"
"Department of Health and Family Welfare","National Rural Health Mission","RCH Flexible Pool including Routine Immunization Programme, Pulse Polio Immunization Programme, National Iodine Deficiency Disorders Control Progrmme etc. (Gross Budgetary Support))","448.66","450.06","7660.95","..."
"Department of Health and Family Welfare","National Rural Health Mission","Health System Strengthening under NRHM (Support from National Investment Funds)","8757.09","9445.18","...","9749.08"
"Department of Health and Family Welfare","National Rural Health Mission","Health System Strengthening under NRHM (Gross Budgetary Support)","434.91","1087.02","10676.6","836.99"
"Department of Health and Family Welfare","National Rural Health Mission","Ayushman Bharat - Health and Wellness Centres (NIF)","993.31","1349.97","...","1350"
"Department of Health and Family Welfare","National Rural Health Mission","Ayushman Bharat - Health and Wellness Centres (GBS)","...","0.04","1350.01","..."
"Department of Health and Family Welfare","National Rural Health Mission","Flexible Pool for Communicable Diseases","3148.94","5003","4778.27","4459.35"
"Department of Health and Family Welfare","National Rural Health Mission","Flexible Pool for Non-Communicable Diseases, Injury and Trauma","546.77","717","708","717"
"Department of Health and Family Welfare","National Rural Health Mission","Infrastructure Maintenance","6241.76","6343.41","6993.41","6343.41"
"Department of Health and Family Welfare","National Rural Health Mission","Forward Linkages to NRHM","75.61","...","...","..."
"Department of Health and Family Welfare","National Rural Health Mission","Pilot Schemes (Sports Medicine, Deafness, Leptospirosis Control, Control of Human Rabies, Medical Rehabilitation, Oral Health, Fluorosis)","26.19","25","25","25"
"Department of Health and Family Welfare","National Rural Health Mission","Prime Minister's Development Plan for Jammu and Kashmir","273.71","63.36","63.36","..."
"Department of Health and Family Welfare","National Rural Health Mission","Strengthening National Programme Management of the NRHM","93.88","115","124.2","125"
"Department of Health and Family Welfare","National Rural Health Mission","Janasankhya Sthirtha Kosh (JSK)","...","11.5","33.5","11.5"
"Department of Health and Family Welfare","National Urban Health Mission","Other Health System for activities covered under NUHM (NIF)","670.23","699.96","...","700"
"Department of Health and Family Welfare","National Urban Health Mission","Other Health System for activities covered under NUHM (GBS)","...","0.04","700","..."
"Department of Health and Family Welfare","National Urban Health Mission","Ayushman Bharat - Health and Wellness Centres (NIF)","198.23","249.96","...","250"
"Department of Health and Family Welfare","National Urban Health Mission","Ayushman Bharat - Health and Wellness Centres (GBS)","...","0.04","250","..."
"Department of Health and Family Welfare","Strengthening of State Drug Regulatory System","Total Strengthening of State Drug Regulatory System","179.27","206","206","175"
"Department of Health and Family Welfare","Tertiary Care Programs","National Mental Health Programme","2.01","40","5","40"
"Department of Health and Family Welfare","Tertiary Care Programs","Capacity Building for Trauma Centres","7.37","100","10","100"
"Department of Health and Family Welfare","Tertiary Care Programs","National Programme for prevention and control of Cancer, Diabetes, Cardio-vascular Disease and Stroke","98.18","175","160","175"
"Department of Health and Family Welfare","Tertiary Care Programs","National Programme for Health Care for the Elderly","74.71","105","25","105"
"Department of Health and Family Welfare","Tertiary Care Programs","National Programme for Control of Blindness","2.82","20","5","20"
"Department of Health and Family Welfare","Tertiary Care Programs","Telemedicine","42.04","45","30","45"
"Department of Health and Family Welfare","Tertiary Care Programs","Tobacco Control Programme and Drug De-addiction Programme","61.55","65","65","65"
"Department of Health and Family Welfare","Human Resources for Health and Medical Education","Upgradation/Strengthening of Nursing Services (ANM/GNM)","58.71","64","32","..."
"Department of Health and Family Welfare","Human Resources for Health and Medical Education","Strengthening/Upgradation of Pharmacy School/College","1","5","...","..."
"Department of Health and Family Welfare","Human Resources for Health and Medical Education","District Hospital - Upgradation of State Government Medical Colleges (PG Seats)","172.24","800","600","..."
"Department of Health and Family Welfare","Human Resources for Health and Medical Education","Strengthening Government Medical Colleges (UG Seats) and Central Government Health Institutions","794.07","1361","761","..."
"Department of Health and Family Welfare","Human Resources for Health and Medical Education","Establishing New Medical Colleges (upgrading District Hospitals)","3167.68","2000","3087","..."
"Department of Health and Family Welfare","Human Resources for Health and Medical Education","Setting up of State Institutions of Para-medical Sciences in States and Setting up of College of Para-medical Education","20","20","20","..."
"Department of Health and Family Welfare","Human Resources for Health and Medical Education","Establishment of New Medical Colleges and Increase of Seats in existing Government Medical Colleges (NIF)","...","...","...","4686"
"Department of Health and Family Welfare","Rashtriya Swasthya Bima Yojna (RSBY)","Support from Gross Budgetary Support (GBS)","226.55","156","114","29"
"Department of Health and Family Welfare","Rashtriya Swasthya Bima Yojna (RSBY)","Support from National Investment Fund (NIF)","...","...","...","..."
"Department of Health and Family Welfare","Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana (PMJAY)","Support from Gross Budgetary Support (GBS)","1997.92","6400","3200","200"
"Department of Health and Family Welfare","Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana (PMJAY)","Support from National Investment Fund (NIF)","...","...","...","6200"
"Department of Health and Family Welfare","Senior Citizens Health Insurance Scheme","Total Senior Citizens Health Insurance Scheme","...","...","...","10"
